Sun May  2 02:25:54 2021    pocket-client-0005.cprofile

         173839 function calls (168867 primitive calls) in 6.680 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      576    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       67    0.000    0.000    2.737    0.041 /root/tfrpc/client/pocket_tf_if.py:236(__getitem__)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      274    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:437(_add_docstring)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       68    0.000    0.000    0.001    0.000 /root/tfrpc/client/pocket_tf_if.py:197(make_tensor)
      121    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/absl/flags/_helpers.py:90(get_module_object_and_name)
      466    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:971(<genexpr>)
      171    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:1376(findCaller)
       77    0.000    0.000    0.003    0.000 /usr/lib/python3.6/json/__init__.py:183(dumps)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:94(_register_known_types)
       30    0.000    0.000    0.003    0.000 /usr/lib/python3.6/typing.py:790(__getitem__)
      344    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:36(_is_sunder)
     1483    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      425    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:378(<listcomp>)
      114    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:388(_simple)
        1    0.000    0.000    0.583    0.583 /usr/local/lib/python3.6/dist-packages/numpy/__init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/ctypes/__init__.py:259(_reset_cache)
      143    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:1025(_abc_negative_cache)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
      317    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.471    0.471 /usr/local/lib/python3.6/dist-packages/numpy/core/__init__.py:7(<module>)
      253    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_type_aliases.py:153(_add_integer_aliases)
      316    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:124(array_function_dispatch)
       56    0.000    0.000    0.001    0.000 /usr/lib/python3.6/asyncio/coroutines.py:194(coroutine)
       36    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/absl/flags/_flagvalues.py:414(__setitem__)
      128    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      354    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:91(<lambda>)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:76(<lambda>)
        1    0.000    0.000    0.414    0.414 /usr/local/lib/python3.6/dist-packages/numpy/core/multiarray.py:7(<module>)
      955    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       52    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:895(__init__)
      352    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:81(<lambda>)
      251    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:111(__init__)
      353    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:86(<lambda>)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:464(_find_new_)
   101/90    0.000    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:1083(_subs_tree)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/datetime.py:356(__new__)
      209    0.000    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:646(<genexpr>)
      384    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:159(__len__)
       28    0.000    0.000    0.001    0.000 /usr/lib/python3.6/ipaddress.py:2143(__init__)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.6/dist-packages/numpy/core/_add_newdocs.py:10(<module>)
      330    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:974(<genexpr>)
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:35(__init__)
      691    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/core/defchararray.py:17(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      416    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.6/ipaddress.py:1614(_ip_int_from_string)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:3(<module>)
        1    0.000    0.000    0.063    0.063 /usr/local/lib/python3.6/dist-packages/numpy/lib/__init__.py:13(<module>)
      153    0.000    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:342(_type_vars)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/tokenize.py:21(<module>)
      307    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2446(extend_all)
       36    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/absl/flags/_flag.py:81(__init__)
       16    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/absl/logging/__init__.py:1003(format)
