Mon May  3 09:11:19 2021    data/20210503-09:10:54-5-cprofile/pocket-server-001.cprofile

         1388125 function calls (1322899 primitive calls) in 20.726 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      585    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/platform/tf_logging.py:210(vlog)
     1524    0.001    0.000    0.004    0.000 {built-in method builtins.next}
     1716    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     2939    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.001    0.001    0.002    0.002 /usr/local/lib/python3.6/dist-packages/tensorflow_core/_api/v2/raw_ops/__init__.py:4(<module>)
      290    0.001    0.000    0.001    0.000 /usr/lib/python3.6/posixpath.py:75(join)
      467    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/scipy/_lib/deprecation.py:9(wrap)
     2767    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.001    0.001    0.001    0.001 /usr/local/lib/python3.6/dist-packages/tensorflow_core/compiler/xla/xla_data_pb2.py:5(<module>)
     3580    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/tf_decorator.py:262(decorated_target)
    99/77    0.001    0.000    0.091    0.001 <frozen importlib._bootstrap_external>:927(exec_module)
        1    0.001    0.001    0.007    0.007 /usr/local/lib/python3.6/dist-packages/tensorflow_core/core/protobuf/config_pb2.py:5(<module>)
       55    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/scipy/_lib/doccer.py:179(indentcount_lines)
        1    0.001    0.001    0.001    0.001 /usr/local/lib/python3.6/dist-packages/tensorflow_core/_api/v2/compat/v2/raw_ops/__init__.py:4(<module>)
        1    0.001    0.001    0.020    0.020 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/ops/gen_array_ops.py:5(<module>)
        1    0.001    0.001    0.001    0.001 /usr/local/lib/python3.6/dist-packages/tensorflow_core/_api/v2/compat/v1/raw_ops/__init__.py:4(<module>)
